"No","Type","Mentions","Date","Link","Media","Sentiment","Author","Followers","Comments","Likes","Shares","Retweeted","Replied","Favourited"
"17","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-15 02:06:23","https://twitter.com/web/statuses/1635719038906286080","Twitter","Positive","@beautifulmantis (Rose Ã°ÂŸÂŒÂ¹)","432","0","0","0","0","0","0"
"18","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-15 02:05:48","https://twitter.com/web/statuses/1635718892411826176","Twitter","Positive","@wonrideuls (iyip mama yedamÃ¢ÂœÂ¨)","245","0","0","0","0","0","0"
"19","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-15 02:02:36","https://twitter.com/web/statuses/1635718087558455297","Twitter","Positive","@hananunanana (naaaaaaa)","415","0","0","0","0","0","0"
"20","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-15 01:56:58","https://twitter.com/web/statuses/1635716669606871040","Twitter","Positive","@PumpyHorse (Horse)","2","0","0","0","0","0","0"
"21","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:52:31","https://twitter.com/web/statuses/1635715549794820096","Twitter","Negative","@Stadion_Fals (Ronald)","454","0","0","0","0","0","0"
"22","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-15 01:52:17","https://twitter.com/web/statuses/1635715490533511173","Twitter","Positive","@studywithshaa (Ã¬ÂƒÂ¤Ã¬ÂƒÂ¤ Ã°ÂŸÂŽÂ€ || IISMAÃ¢Â€Â™23)","152","0","0","0","0","0","0"
"23","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:38:38","https://twitter.com/web/statuses/1635712055746650112","Twitter","Negative","@gondessanfor (gondalgandul)","611","0","0","0","0","0","0"
"24","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:36:12","https://twitter.com/web/statuses/1635711443403411458","Twitter","Negative","@ohmytwt_ (RaraÃ°ÂŸÂÂ“)","103","0","0","0","0","0","0"
"25","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:35:15","https://twitter.com/web/statuses/1635711201664716800","Twitter","Negative","@liolioliii (~Lio)","49","0","0","0","0","0","0"
"26","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-15 01:34:14","https://twitter.com/web/statuses/1635710945795391488","Twitter","Positive","@idkwhatmyusnis (f)","23","0","0","0","0","0","0"
"27","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:33:11","https://twitter.com/web/statuses/1635710681159962624","Twitter","Negative","@kaoskakia (powjia)","693","0","0","0","0","0","0"
"28","rt","RT @f_gilik yak bagus, video ini semakin menegaskan bahwa childfree adalah pilihan yg tepat untuk mencegah peningkatan populasi brainless dan mannerless [RE bakriesoedibjo]","2023-03-15 01:32:37","https://twitter.com/web/statuses/1635710538230689793","Twitter","Positive","@anxietypsy_chic (.)","4821","0","0","0","0","0","0"
"29","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:22:16","https://twitter.com/web/statuses/1635707933697933312","Twitter","Negative","@fadhildildil (Memento Mori)","176","0","0","0","0","0","0"
"30","rt","RT @JL_Apatheia: @LAURENVONTRIER Belum mampu jadi orang tua yang baik malah sibuk ngejudge orang yang mau childfree Ã°ÂŸÂ¤Â¡ [RE JL_Apatheia]","2023-03-15 01:21:03","https://twitter.com/web/statuses/1635707630562992133","Twitter","Positive","@coffeice14 (meija)","0","0","0","0","0","0","0"
"31","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-15 01:20:50","https://twitter.com/web/statuses/1635707573717598208","Twitter","Positive","@127gosat (eve)","261","0","0","0","0","0","0"
"32","rt","RT @yomskyy @tilehopper Kl gua liat kita mkin progresif, tapi progresifnya selektif. Soal isu lingkungan, disabilitas, gender equality, etc, Gen Z kita makin progresif; cuman isu lain macam lgbt, childfree, pengakuan agama diluar 6 yg resmi, etc, Gen Z ki","2023-03-15 01:14:10","https://twitter.com/web/statuses/1635705896075689984","Twitter","Negative","@0x1lovesyou (cle)","126","0","0","0","0","0","0"
"33","reply","@kimseolav :))) itu sama aja childfree kak","2023-03-15 01:12:19","https://twitter.com/web/statuses/1635705432990969857","Twitter","Negative","@jicsoo_ (Jichuya)","1057","0","0","0","0","0","0"
"34","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 01:00:31","https://twitter.com/web/statuses/1635702463050416128","Twitter","Negative","@ayynaat (bucin mi sedap)","481","0","0","0","0","0","0"
"35","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-15 00:59:12","https://twitter.com/web/statuses/1635702132140802048","Twitter","Positive","@xxsaaxxx (Ã¡Â•Â™(ÃÂ¡Ã‚Â°Ã¢Â€Â¿ ÃÂ¡Ã‚Â°)Ã¡Â•Â—)","293","0","0","0","0","0","0"
"36","reply","@worksfess kalau childfree income min. 7 juta buat household dan makan, tabungan &amp; dana darurat 50 juta. kalau mau punya anak, 3-5x lipatnya itu.","2023-03-15 00:55:07","https://twitter.com/web/statuses/1635701103680712704","Twitter","Positive","@fasvegas (Alan)","505","0","0","0","0","0","0"
"37","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 00:53:07","https://twitter.com/web/statuses/1635700601513455618","Twitter","Negative","@linyiboji (karareÃ¥Â…Â‰)","585","0","0","0","0","0","0"
"38","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 00:32:35","https://twitter.com/web/statuses/1635695430548983808","Twitter","Positive","@sleeeplvrs (Ã«Â¦Â¬Ã¬ÂˆÂ˜)","176","0","0","0","0","0","0"
"39","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 00:29:29","https://twitter.com/web/statuses/1635694650454597633","Twitter","Positive","@Algebrx23 (Valko)","69","0","0","0","0","0","0"
"40","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 00:28:08","https://twitter.com/web/statuses/1635694313253527552","Twitter","Positive","@yuswauhuy (Yuswq)","12","0","0","0","0","0","0"
"41","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-15 00:28:00","https://twitter.com/web/statuses/1635694279715860480","Twitter","Positive","@11xn_dl (piwpiw)","86","0","0","0","0","0","0"
"42","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-15 00:24:56","https://twitter.com/web/statuses/1635693508383346688","Twitter","Negative","@Alexzxx6 (Alexzxx)","2","0","0","0","0","0","0"
"43","mention","ugh bayangin orang dgn kadar otak setengah sendok nyamnyam gini dibiarin punya anak? i support childfree for a reason.","2023-03-15 00:24:27","https://twitter.com/web/statuses/1635693383586050048","Twitter","Negative","@saphiredarl (raÃ°ÂŸÂªÂ©)","322","0","0","0","0","0","0"
"44","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-15 00:21:52","https://twitter.com/web/statuses/1635692733770919936","Twitter","Positive","@shakirasjam (naaaaddddd)","1","0","0","0","0","0","0"
"45","rt","RT @HechiAnget: @PatrickHermawan Yg pinter pada childfree, yg goblok membuat squad sepakbola [RE HechiAnget]","2023-03-15 00:14:35","https://twitter.com/web/statuses/1635690900998303761","Twitter","Positive","@kamazalbana (maz)","393","0","0","0","0","0","0"
"46","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 23:43:27","https://twitter.com/web/statuses/1635683065535275008","Twitter","Negative","@justariskathing (Dee)","58","0","0","0","0","0","0"
"47","reply","@hatsunemixue eh iya ya kok sekesel itu padahal kan childfree ga ngerugiin orang orang (kecuali casenya kaya di jpn tapi menurut gue ga pantes jg pilihan hidup orang dimocking sampe segitunya)","2023-03-14 23:30:18","https://twitter.com/web/statuses/1635679760134324226","Twitter","Positive","@efnnik (Ã™Â‹)","55","0","0","0","0","0","0"
"48","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-14 23:27:59","https://twitter.com/web/statuses/1635679176434003968","Twitter","Positive","@sansfav153cm (extrajoss Ã°ÂŸÂ’Â›)","42","0","0","0","0","0","0"
"49","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-14 23:26:03","https://twitter.com/web/statuses/1635678686719647750","Twitter","Positive","@anggrnriaa (mangga mudaÃ°ÂŸÂÂ‡)","807","0","0","0","0","0","0"
"50","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 23:23:10","https://twitter.com/web/statuses/1635677961205731328","Twitter","Negative","@lucyvicious (Lusi)","275","0","0","0","0","0","0"
"51","mention","gw sampe skrg bingung knp mereka sekesel itu ya sm childfree","2023-03-14 23:21:28","https://twitter.com/web/statuses/1635677533638377472","Twitter","Positive","@hatsunemixue (Ã°ÂŸÂ§ÂÃ¢Â€ÂÃ¢Â™Â€Ã¯Â¸Â)","30","0","0","0","0","0","0"
"52","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-14 23:19:04","https://twitter.com/web/statuses/1635676932519133186","Twitter","Positive","@rubyleave (hola)","439","0","0","0","0","0","0"
"53","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-14 23:16:57","https://twitter.com/web/statuses/1635676400568127491","Twitter","Positive","@larkspuretruby (dania)","555","0","0","0","0","0","0"
"54","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 23:16:51","https://twitter.com/web/statuses/1635676374672482304","Twitter","Negative","@kcngtlr (Kucing Telor)","229","0","0","0","0","0","0"
"55","mention","Kalo kata gw mah lo mending childfree deh, anak lo jg ga berharap lahir dari lo sih, anak itu tanggung jawab orang tua selagi belom nikah, klo udh nikah jg klo mampu bantu dikit gapapa itungÃ‚Â² senengin cucu. Kocak bgt pemikiran lo.","2023-03-14 23:16:12","https://twitter.com/web/statuses/1635676211816075264","Twitter","Positive","@enptw_ (Ã¢ÂœÂ¨)","31","0","0","0","0","0","0"
"56","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-14 23:16:08","https://twitter.com/web/statuses/1635676194111905794","Twitter","Positive","@larkspuretruby (dania)","555","0","0","0","0","0","0"
"57","rt","RT Childfree dan punya anak ada pilihan masing-masing. Namun bagi yang ingin punya anak selain masalah pilihan, ada hal lain juga yang penting yaitu tanggung jawab. [RE kokokdirgantoro]","2023-03-14 23:15:39","https://twitter.com/web/statuses/1635676073190121472","Twitter","Positive","@btungka1997 (Bernadette Tungka)","1004","0","0","0","0","0","0"
"58","rt","RT Saat ada dinas luar yg relatif susah medannya, kerap yg tidak menikah/ childfree yang disuruh. Yg sudah menikah dan punya anak kerap dpt privilege perusahaan. Sudah yg single saja yg dinas jauh. Ini tidak adil. Jabatan sama, gaji sama tapi yg single ja","2023-03-14 23:15:28","https://twitter.com/web/statuses/1635676027472220160","Twitter","Positive","@btungka1997 (Bernadette Tungka)","1004","0","0","0","0","0","0"
"59","rt","RT @f_gilik yak bagus, video ini semakin menegaskan bahwa childfree adalah pilihan yg tepat untuk mencegah peningkatan populasi brainless dan mannerless [RE bakriesoedibjo]","2023-03-14 23:13:58","https://twitter.com/web/statuses/1635675649120833536","Twitter","Positive","@stoicaries (uci)","231","0","0","0","0","0","0"
"60","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 23:13:53","https://twitter.com/web/statuses/1635675628472258560","Twitter","Negative","@gulgardin98 (Van)","216","0","0","0","0","0","0"
"61","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-14 23:12:28","https://twitter.com/web/statuses/1635675272505856000","Twitter","Positive","@quirkyseeds (naif tak kunjung reda)","33","0","0","0","0","0","0"
"62","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 23:08:01","https://twitter.com/web/statuses/1635674151880105989","Twitter","Negative","@sayahanyazakie (Zakie Ar - Rasyied)","439","0","0","0","0","0","0"
"63","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 22:59:13","https://twitter.com/web/statuses/1635671937346326529","Twitter","Negative","@fyeugenie (Eugenie Vina)","868","0","0","0","0","0","0"
"64","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-14 22:56:54","https://twitter.com/web/statuses/1635671353507606530","Twitter","Positive","@AAlderone (alderone)","50","0","0","0","0","0","0"
"65","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 22:53:32","https://twitter.com/web/statuses/1635670506639851521","Twitter","Negative","@aryopramudito2 (Pritikil Kisihitin)","214","0","0","0","0","0","0"
"66","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-14 22:52:44","https://twitter.com/web/statuses/1635670305770455041","Twitter","Positive","@slavlokal (Reese Jr.)","163","0","0","0","0","0","0"
"67","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 22:49:45","https://twitter.com/web/statuses/1635669554763558918","Twitter","Negative","@F____IND (F_IND)","321","0","0","0","0","0","0"
"68","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 22:42:03","https://twitter.com/web/statuses/1635667616605020162","Twitter","Negative","@sukafaris (faris ÃƒÂ— Ã°ÂŸÂÂ´)","402","0","0","0","0","0","0"
"69","reply","makanya childfree","2023-03-14 22:38:31","https://twitter.com/web/statuses/1635666727337070592","Twitter","Negative","@kayigrafi (Kayla (she/her/they))","53","0","0","0","0","0","0"
"70","reply","@marlboroous @CoffeeLatte69 @manusialangkaxi @leinad_28 @tanyakanrl Bakal menderita di tuntut pdhl dia lahir bukan krn kemauanya, kalo anak ga lahir kan dia ga bakal ngerasain di tuntut orang tua, ga bakal susah, kelaparan dll krn dia ga lahir samaek, sea","2023-03-14 22:36:12","https://twitter.com/web/statuses/1635666144999927808","Twitter","Positive","@nilouuv (fa)","229","0","0","0","0","0","0"
"71","rt","RT a nomin auÃ¢Â€Â”

Sepasang selebgram rangkap suami yang sudah menikah 7 tahun ini setuju untuk childfree, tapi gimana jadinya jika setelah beberapa bulan mereka mengungkapkan ke publik malah kebobolan? https://t.co/jyXvG9x3CR [RE bemynotomymin]","2023-03-14 22:31:50","https://twitter.com/web/statuses/1635665046159364096","Twitter","Positive","@markliveewthu (markliveewthu)","0","0","0","0","0","0","0"
"72","rt","RT @SoundOfYogi: Video anti childfree tapi isinya contoh orang2 yg orangtuanya seharusnya childfree [RE SoundOfYogi]","2023-03-14 22:28:59","https://twitter.com/web/statuses/1635664328421679104","Twitter","Negative","@nasiqorenq (past)","638","0","0","0","0","0","0"
"73","rt","RT Kalian ini masih dalam tahap ""Buat yg udah nikah, enak ga sih tinggal bareng mertua?"" Beda dengan Gita yg bangga dengan pilihan childfree plus didukung bgt sama suaminya dan mereka berdua ikut serta dalam International Women's Day. Beda level ama kalia","2023-03-14 22:28:50","https://twitter.com/web/statuses/1635664291411140610","Twitter","Positive","@theoneedsleep (zee)","38","0","0","0","0","0","0"
"74","rt","RT Sudah sering kali saya mendapati kenyataan orang yang tidak menikah dan childfree atau belum punya anak dijadikan sasaran bully maupun alasan ditambah pekerjaannya. [RE kokokdirgantoro]","2023-03-14 22:27:27","https://twitter.com/web/statuses/1635663939743916033","Twitter","Positive","@heztya (Hez)","210","0","0","0","0","0","0"
"75","mention","kecuali yg mo childfree, mungkin bs mempertimbangkan beberapa hal jika ingin segera atau nunda punya anak.
1 umur, 2 kesehatan, 3 gaya hidup.

semakin berumur, cadangan telur jg semakin berkurang.
kesehatan reproduksi yg dipengaruhi gaya hidup jg perlu di","2023-03-14 22:26:32","https://twitter.com/web/statuses/1635663712777535489","Twitter","Positive","@IrmadliK (Penjual Ambulance)","422","0","0","0","0","0","0"
"76","rt","RT Gila, gitasav cuma memilih childfree, dimana itu tuh hal personal dan harmless tp dirujaknya udah kayak kriminal. Perihal ketikannya yg kadang pedes ya krn gita udah bertahun"" dirujak, org punya titik capeknya jg nerima ujaran kebencian. Enough guys, d","2023-03-14 22:25:22","https://twitter.com/web/statuses/1635663415388807170","Twitter","Positive","@prika____ (Prika)","337","0","0","0","0","0","0"
"77","mention","malah makin yakin gak sih untuk childfree liat ginian","2023-03-14 22:20:55","https://twitter.com/web/statuses/1635662299095785472","Twitter","Negative","@izumisan21 (Izumi san)","1399","0","0","0","0","0","0"
"78","mention","Childfree karena keadaan adalah saya (baca: muka jelek)","2023-03-14 22:17:55","https://twitter.com/web/statuses/1635661543600955392","Twitter","Negative","@NianAlnian (Nian)","296","0","0","0","0","0","0"
"79","rt","RT @yomskyy @tilehopper Kl gua liat kita mkin progresif, tapi progresifnya selektif. Soal isu lingkungan, disabilitas, gender equality, etc, Gen Z kita makin progresif; cuman isu lain macam lgbt, childfree, pengakuan agama diluar 6 yg resmi, etc, Gen Z ki","2023-03-14 22:09:38","https://twitter.com/web/statuses/1635659458893484033","Twitter","Negative","@ariiqqq (ari)","90","0","0","0","0","0","0"
"80","rt","RT @f_gilik one of those guys are my friend, jadi sebenernya gue ngerti sih maksudnya bercanda but ada ga setujunya juga, vt penjelasan kakaknya ini masuk akal kenapa childfree bukan sesuatu yang pantas buat dibercandainÃ°ÂŸÂ«Â¶Ã°ÂŸÂÂ¼ https://t.co/lb0EW","2023-03-14 22:06:25","https://twitter.com/web/statuses/1635658650244239360","Twitter","Positive","@paterate_ (kar)","199","0","0","0","0","0","0"
